h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
9.9999999999999994e-12,9.9999999999999986e-10,5.3982783727702899e-01,5.3982773806637863e-01,5.3982783727702910e-01,9.9210650361669650e-08,1.1102230246251565e-16,1.9847627373850589e-02,-7.1054273576010037e+03,-0.0000000000000000e+00,1.9847164822444214e-02,7.1054472052283772e+03,1.9847627373850589e-02,4.6255140637510572e-07
3.1622776601683794e-11,3.1622776601683795e-09,5.3982783727702899e-01,5.3982800106177342e-01,5.3982783727702932e-01,1.6378474443357049e-07,3.3306690738754696e-16,1.9847627373850589e-02,-7.1054273576010019e+02,-0.0000000000000000e+00,1.9847619771781112e-02,7.1056258338747409e+02,1.9847627373850589e-02,7.6020694773915043e-09
1.0000000000000000e-10,1.0000000000000000e-08,5.3982783727702899e-01,5.3982631698090700e-01,5.3982783727702921e-01,1.5202961219928923e-06,2.2204460492503131e-16,1.9847627373850589e-02,2.8421709430404002e+02,-0.0000000000000000e+00,1.9847603228168857e-02,2.8419724667666617e+02,1.9847627373850589e-02,2.4145681731813085e-08
3.1622776601683795e-10,3.1622776601683792e-08,5.3982783727702899e-01,5.3982732698174751e-01,5.3982783727702910e-01,5.1029528147505943e-07,1.1102230246251565e-16,1.9847627373850589e-02,2.8421709430404011e+01,-0.0000000000000000e+00,1.9847636315393366e-02,2.8401861803030162e+01,1.9847627373850589e-02,8.9415427770300759e-09
1.0000000000000001e-09,1.0000000000000001e-07,5.3982783727702899e-01,5.3982773806637852e-01,5.3982783727702888e-01,9.9210650472691952e-08,1.1102230246251565e-16,1.9847627373850589e-02,1.4210854715202001e+00,-0.0000000000000000e+00,1.9847625727481520e-02,1.4012378441463496e+00,1.9847627373850589e-02,1.6463690688528487e-09
3.1622776601683795e-09,3.1622776601683797e-07,5.3982783727702899e-01,5.3982782130709983e-01,5.3982783727702899e-01,1.5969929156867124e-08,0.0000000000000000e+00,1.9847627373850589e-02,0.0000000000000000e+00,-0.0000000000000000e+00,1.9847627845063887e-02,1.9847627373850589e-02,1.9847627373850589e-02,4.7121329754817864e-10
1.0000000000000000e-08,9.9999999999999995e-07,5.3982783727702899e-01,5.3982783754236152e-01,5.3982783727702888e-01,2.6533253372207355e-10,1.1102230246251565e-16,1.9847627373850589e-02,2.8421709430404007e-02,5.6843418860808015e-02,1.9847626892151825e-02,8.5740820565534184e-03,3.6995791486957426e-02,4.8169876420978142e-10
3.1622776601683792e-08,3.1622776601683792e-06,5.3982783727702899e-01,5.3982787073963512e-01,5.3982783727702910e-01,3.3462606130463257e-08,1.1102230246251565e-16,1.9847627373850589e-02,1.7763568394002505e-02,4.1211478674085811e-02,1.9847627230965004e-02,2.0840589798480844e-03,2.1363851300235222e-02,1.4288558530806128e-10
9.9999999999999995e-08,9.9999999999999991e-06,5.3982783727702899e-01,5.3982793630780179e-01,5.3982783727702888e-01,9.9030772804375999e-08,1.1102230246251565e-16,1.9847627373850589e-02,1.9824142327706799e-02,3.9790393202565617e-02,1.9847627298727643e-02,2.3485046143790350e-05,1.9942765828715028e-02,7.5122946058270301e-11
3.1622776601683792e-07,3.1622776601683789e-05,5.3982783727702899e-01,5.3982815093223258e-01,5.3982783727702943e-01,3.1365520358761501e-07,4.4408920985006262e-16,1.9847627373850589e-02,1.9852564037137206e-02,3.9705128074274412e-02,1.9847627386819073e-02,4.9366632866171267e-06,1.9857500700423823e-02,1.2968483925623886e-11
9.9999999999999995e-07,9.9999999999999991e-05,5.3982783727702899e-01,5.3982882967318346e-01,5.3982783727702910e-01,9.9239615447554996e-07,1.1102230246251565e-16,1.9847627373850589e-02,1.9846169152515362e-02,3.9695180475973764e-02,1.9847627377332300e-02,1.4582213352272444e-06,1.9847553102123175e-02,3.4817114469287702e-12
3.1622776601683792e-06,3.1622776601683794e-04,5.3982783727702899e-01,5.3983097546235737e-01,5.3982783727702899e-01,3.1381853283773964e-06,0.0000000000000000e+00,1.9847627373850589e-02,1.9847377075166150e-02,3.9695464693068061e-02,1.9847627371911286e-02,2.5029868443854353e-07,1.9847837319217472e-02,1.9393028849457039e-12
1.0000000000000001e-05,1.0000000000000000e-03,5.3982783727702899e-01,5.3983776103194714e-01,5.3982783727702910e-01,9.9237549181507845e-06,1.1102230246251565e-16,1.9847627373850589e-02,1.9847334442602005e-02,3.9695251530247333e-02,1.9847627370393403e-02,2.9293124858414954e-07,1.9847624156396744e-02,3.4571859264254101e-12
3.1622776601683795e-05,3.1622776601683794e-03,5.3982783727702899e-01,5.3985921863351249e-01,5.3982783727702854e-01,3.1381356483506373e-05,4.4408920985006262e-16,1.9847627373850589e-02,1.9846685006541520e-02,3.9695255793503748e-02,1.9847627338778068e-02,9.4236730906888111e-07,1.9847628419653159e-02,3.5072521276102719e-11
1.0000000000000000e-04,1.0000000000000000e-02,5.3982783727702899e-01,5.3992707045011912e-01,5.3982783727702899e-01,9.9233173090129689e-05,0.0000000000000000e+00,1.9847627373850589e-02,1.9844647667355275e-02,3.9695254514526823e-02,1.9847627022381853e-02,2.9797064953138164e-06,1.9847627140676234e-02,3.5146873605951257e-10
