h_rel,h,Delta_analytic,Delta_fd,Delta_cs,err_D_fd,err_D_cs,Gamma_analytic,Gamma_fd,Gamma_cs_real,Gamma_cs_45,err_G_fd,err_G_cs_real,err_G_cs_45
9.9999999999999998e-17,1.0000000000000000e-14,5.3982783727702899e-01,7.1054273576010019e-01,5.3982783727702899e-01,1.7071489848307120e-01,0.0000000000000000e+00,1.9847627373850589e-02,-7.1054273576010016e+13,-0.0000000000000000e+00,0.0000000000000000e+00,7.1054273576010031e+13,1.9847627373850589e-02,1.9847627373850589e-02
3.1622776601683793e-16,3.1622776601683796e-14,5.3982783727702899e-01,4.4938668397781767e-01,5.3982783727702877e-01,9.0441153299211319e-02,2.2204460492503131e-16,1.9847627373850589e-02,0.0000000000000000e+00,-0.0000000000000000e+00,1.2621774483536186e-02,1.9847627373850589e-02,1.9847627373850589e-02,7.2258528903144034e-03
1.0000000000000001e-15,1.0000000000000000e-13,5.3982783727702899e-01,4.2632564145606011e-01,5.3982783727702932e-01,1.1350219582096888e-01,3.3306690738754696e-16,1.9847627373850589e-02,2.1316282072803005e+12,-0.0000000000000000e+00,2.0194839173657900e-02,2.1316282072802808e+12,1.9847627373850589e-02,3.4721179980731071e-04
3.1622776601683794e-15,3.1622776601683792e-13,5.3982783727702899e-01,5.1679468657449046e-01,5.3982783727702910e-01,2.3033150702538530e-02,1.1102230246251565e-16,1.9847627373850589e-02,7.1054273576010025e+10,-0.0000000000000000e+00,2.0699710152999352e-02,7.1054273575990173e+10,1.9847627373850589e-02,8.5208277914876340e-04
1.0000000000000000e-14,9.9999999999999998e-13,5.3982783727702899e-01,5.2580162446247414e-01,5.3982783727702888e-01,1.4026212814554850e-02,1.1102230246251565e-16,1.9847627373850589e-02,2.1316282072803009e+10,-0.0000000000000000e+00,1.9588993998448167e-02,2.1316282072783161e+10,1.9847627373850589e-02,2.5863337540242212e-04
3.1622776601683796e-14,3.1622776601683794e-12,5.3982783727702899e-01,5.3926402077338131e-01,5.3982783727702899e-01,5.6381650364767388e-04,0.0000000000000000e+00,1.9847627373850589e-02,0.0000000000000000e+00,-0.0000000000000000e+00,1.9790942390184741e-02,1.9847627373850589e-02,1.9847627373850589e-02,5.6684983665847982e-05
1.0000000000000000e-13,1.0000000000000001e-11,5.3982783727702899e-01,5.4001247917767614e-01,5.3982783727702899e-01,1.8464190064715336e-04,0.0000000000000000e+00,1.9847627373850589e-02,-7.1054273576010004e+07,-0.0000000000000000e+00,1.9839410004201519e-02,7.1054273595857635e+07,1.9847627373850589e-02,8.2173696490696335e-06
3.1622776601683792e-13,3.1622776601683794e-11,5.3982783727702899e-01,5.3993810079934801e-01,5.3982783727702899e-01,1.1026352231902070e-04,0.0000000000000000e+00,1.9847627373850589e-02,-7.1054273576010009e+06,-0.0000000000000000e+00,1.9832947655665952e-02,7.1054273774486287e+06,1.9847627373850589e-02,1.4679718184636842e-05
9.9999999999999998e-13,1.0000000000000000e-10,5.3982783727702899e-01,5.3979931635694811e-01,5.3982783727702932e-01,2.8520920080876699e-05,3.3306690738754696e-16,1.9847627373850589e-02,0.0000000000000000e+00,-0.0000000000000000e+00,1.9847164822444207e-02,1.9847627373850589e-02,1.9847627373850589e-02,4.6255140638204462e-07
3.1622776601683794e-12,3.1622776601683795e-10,5.3982783727702899e-01,5.3982575412835354e-01,5.3982783727702910e-01,2.0831486754468997e-06,1.1102230246251565e-16,1.9847627373850589e-02,-7.1054273576010019e+04,-0.0000000000000000e+00,1.9847681810327051e-02,7.1054293423637399e+04,1.9847627373850589e-02,5.4436476461944272e-08
